DUGPOLJ 110 TP1 STRUJA ;;;;DUGPOLJ 110 TP1 RADNA SNAGA ;;;;DUGPOLJ 110 TP1 JALOVA SNAGA ;;;;DUGPOLJ 110 TP1 NAPON ;;;;DUGPOLJ 110/20 TR1 POLOŽAJ REG SKLOPKE ;;;;DUGPOLJ 20 MP SEK 1 NAPON ;;;;DUGPOLJ 110 TP2 STRUJA ;;;;DUGPOLJ 110 TP2 RADNA SNAGA ;;;;DUGPOLJ 110 TP2 JALOVA SNAGA ;;;;DUGPOLJ 110 TP2 NAPON ;;;;DUGPOLJ 110/20 TR2 POLOŽAJ REG SKLOPKE ;;;;DUGPOLJ 20 MP SEK 2 NAPON ;;
4.12.2024. 9:10:00;;23,453171;;4.12.2024. 9:10:00;;-4,621488;;4.12.2024. 9:10:00;;0,619258;;4.12.2024. 9:10:00;;117,747505;;4.12.2024. 9:10:00;;4;;4.12.2024. 9:10:00;;20,97452;;4.12.2024. 9:10:00;;15,954968;;4.12.2024. 9:10:00;;-2,951741;;4.12.2024. 9:10:00;;1,229068;;4.12.2024. 9:10:00;;118,728981;;4.12.2024. 9:10:00;;3;;4.12.2024. 9:10:00;;20,42028
4.12.2024. 9:11:52;;23,453171;;4.12.2024. 9:11:52;;-4,621488;;4.12.2024. 9:11:52;;0,619258;;4.12.2024. 9:11:52;;117,747505;;4.12.2024. 9:11:52;;4;;4.12.2024. 9:11:52;;20,97452;;4.12.2024. 9:11:52;;15,954968;;4.12.2024. 9:11:52;;-2,951741;;4.12.2024. 9:11:52;;1,229068;;4.12.2024. 9:11:52;;118,728981;;4.12.2024. 9:11:52;;3;;4.12.2024. 9:11:52;;20,42028
4.12.2024. 9:13:08;;23,453171;;4.12.2024. 9:13:10;;-4,621488;;4.12.2024. 9:14:08;;0,619258;;4.12.2024. 9:13:06;;122,45192;;4.12.2024. 9:14:08;;4;;4.12.2024. 9:14:08;;20,97452;;4.12.2024. 9:14:08;;15,954968;;4.12.2024. 9:14:08;;-2,951741;;4.12.2024. 9:14:08;;1,229068;;4.12.2024. 9:13:06;;121,771919;;4.12.2024. 9:13:58;;3;;4.12.2024. 9:12:04;;20,42028
4.12.2024. 9:14:08;;24,842974;;4.12.2024. 9:14:08;;-5,172774;;4.12.2024. 9:16:24;;0,619258;;4.12.2024. 9:14:08;;117,61792;;4.12.2024. 9:16:24;;4;;4.12.2024. 9:14:26;;20,97452;;4.12.2024. 9:16:24;;15,954968;;4.12.2024. 9:16:24;;-2,951741;;4.12.2024. 9:16:24;;1,229068;;4.12.2024. 9:14:08;;117,557358;;4.12.2024. 9:14:08;;4;;4.12.2024. 9:14:08;;20,437601
4.12.2024. 9:14:12;;24,842974;;4.12.2024. 9:14:16;;-5,172774;;4.12.2024. 9:18:40;;0,619258;;4.12.2024. 9:16:24;;117,61792;;4.12.2024. 9:18:40;;4;;4.12.2024. 9:16:24;;20,749359;;4.12.2024. 9:18:40;;15,954968;;4.12.2024. 9:18:40;;-2,951741;;4.12.2024. 9:18:40;;1,229068;;4.12.2024. 9:16:24;;117,557358;;4.12.2024. 9:16:24;;4;;4.12.2024. 9:16:06;;20,437601
4.12.2024. 9:16:24;;23,451591;;4.12.2024. 9:16:24;;-4,644889;;4.12.2024. 9:20:56;;0,619258;;4.12.2024. 9:18:40;;117,61792;;4.12.2024. 9:20:56;;4;;4.12.2024. 9:16:30;;20,749359;;4.12.2024. 9:20:56;;15,954968;;4.12.2024. 9:20:56;;-2,951741;;4.12.2024. 9:20:56;;1,229068;;4.12.2024. 9:18:40;;117,557358;;4.12.2024. 9:18:40;;4;;4.12.2024. 9:16:24;;20,489559
4.12.2024. 9:18:40;;23,451591;;4.12.2024. 9:18:40;;-4,644889;;4.12.2024. 9:23:12;;0,619258;;4.12.2024. 9:20:56;;117,61792;;4.12.2024. 9:23:12;;4;;4.12.2024. 9:18:40;;20,71472;;4.12.2024. 9:23:12;;15,954968;;4.12.2024. 9:23:12;;-2,951741;;4.12.2024. 9:23:12;;1,229068;;4.12.2024. 9:20:56;;117,557358;;4.12.2024. 9:20:56;;4;;4.12.2024. 9:18:40;;20,489559
4.12.2024. 9:20:56;;23,451591;;4.12.2024. 9:20:56;;-4,644889;;4.12.2024. 9:25:28;;0,619258;;4.12.2024. 9:23:12;;117,61792;;4.12.2024. 9:25:28;;4;;4.12.2024. 9:19:16;;20,71472;;4.12.2024. 9:25:28;;15,954968;;4.12.2024. 9:25:28;;-2,951741;;4.12.2024. 9:25:28;;1,229068;;4.12.2024. 9:23:12;;117,557358;;4.12.2024. 9:23:12;;4;;4.12.2024. 9:19:04;;20,489559
4.12.2024. 9:21:32;;23,451591;;4.12.2024. 9:23:12;;-4,644889;;4.12.2024. 9:27:44;;0,619258;;4.12.2024. 9:25:28;;117,61792;;4.12.2024. 9:27:44;;4;;4.12.2024. 9:20:56;;20,8706;;4.12.2024. 9:27:44;;15,954968;;4.12.2024. 9:27:44;;-2,951741;;4.12.2024. 9:27:44;;1,229068;;4.12.2024. 9:25:28;;117,557358;;4.12.2024. 9:25:28;;4;;4.12.2024. 9:20:56;;20,71472
4.12.2024. 9:23:12;;22,06481;;4.12.2024. 9:25:28;;-4,644889;;4.12.2024. 9:30:00;;0,619258;;4.12.2024. 9:27:44;;117,61792;;4.12.2024. 9:30:00;;4;;4.12.2024. 9:23:12;;20,8706;;4.12.2024. 9:30:00;;15,954968;;4.12.2024. 9:30:00;;-2,951741;;4.12.2024. 9:30:00;;1,229068;;4.12.2024. 9:27:44;;117,557358;;4.12.2024. 9:27:44;;4;;4.12.2024. 9:23:12;;20,71472
4.12.2024. 9:25:28;;22,06481;;4.12.2024. 9:26:16;;-4,644889;;4.12.2024. 9:32:16;;0,619258;;4.12.2024. 9:30:00;;117,61792;;4.12.2024. 9:32:16;;4;;4.12.2024. 9:25:28;;20,8706;;4.12.2024. 9:32:16;;15,954968;;4.12.2024. 9:32:16;;-2,951741;;4.12.2024. 9:32:16;;1,229068;;4.12.2024. 9:30:00;;117,557358;;4.12.2024. 9:30:00;;4;;4.12.2024. 9:23:14;;20,71472
4.12.2024. 9:26:16;;22,06481;;4.12.2024. 9:27:44;;-4,123397;;4.12.2024. 9:34:32;;0,619258;;4.12.2024. 9:32:16;;117,61792;;4.12.2024. 9:34:32;;4;;4.12.2024. 9:26:10;;20,8706;;4.12.2024. 9:34:32;;15,954968;;4.12.2024. 9:34:32;;-2,951741;;4.12.2024. 9:34:32;;1,229068;;4.12.2024. 9:32:16;;117,557358;;4.12.2024. 9:32:16;;4;;4.12.2024. 9:25:28;;20,50688
