VRBORAN 110/35/10 TR1 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 110/35/10 TR2 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 35 TP1 STRUJA ;;;;VRBORAN 35 TP1 RADNA SNAGA ;;;;VRBORAN 35 TP1 JALOVA SNAGA ;;;;VRBORAN 35 TP1 NAPON ;;;;VRBORAN 35 TP2 STRUJA ;;;;VRBORAN 35 TP2 RADNA SNAGA ;;;;VRBORAN 35 TP2 JALOVA SNAGA ;;;;VRBORAN 35 TP2 NAPON ;;;;
4.12.2024. 9:32:16;;2;;4.12.2024. 9:32:16;;2;;4.12.2024. 9:19:48;;68,163979;;4.12.2024. 9:20:36;;4,162174;;4.12.2024. 9:21:02;;0,205452;;4.12.2024. 9:20:14;;34,768608;;4.12.2024. 9:19:52;;64,814621;;4.12.2024. 9:20:38;;3,952952;;4.12.2024. 9:21:04;;0,136263;;4.12.2024. 9:19:42;;34,671566;;
4.12.2024. 9:34:08;;2;;4.12.2024. 9:34:08;;2;;4.12.2024. 9:21:26;;67,910812;;4.12.2024. 9:22:10;;4,148931;;4.12.2024. 9:21:16;;0,222183;;4.12.2024. 9:21:24;;34,759315;;4.12.2024. 9:21:26;;64,716583;;4.12.2024. 9:21:26;;3,933551;;4.12.2024. 9:21:16;;0,172309;;4.12.2024. 9:21:30;;34,663963;;
4.12.2024. 9:36:00;;2;;4.12.2024. 9:34:26;;2;;4.12.2024. 9:22:56;;65,963821;;4.12.2024. 9:22:54;;4,056183;;4.12.2024. 9:22:56;;0,102273;;4.12.2024. 9:22:12;;35,064419;;4.12.2024. 9:22:52;;62,478882;;4.12.2024. 9:22:56;;3,847429;;4.12.2024. 9:22:40;;0,038752;;4.12.2024. 9:22:16;;34,88205;;
4.12.2024. 9:37:52;;2;;4.12.2024. 9:36:00;;3;;4.12.2024. 9:23:20;;66,076721;;4.12.2024. 9:23:04;;4,058457;;4.12.2024. 9:23:16;;0,146083;;4.12.2024. 9:23:16;;34,885201;;4.12.2024. 9:23:18;;62,792782;;4.12.2024. 9:23:00;;3,847429;;4.12.2024. 9:23:32;;0,103051;;4.12.2024. 9:23:16;;34,820309;;
4.12.2024. 9:39:44;;2;;4.12.2024. 9:37:52;;3;;4.12.2024. 9:24:48;;68,152283;;4.12.2024. 9:24:48;;4,145956;;4.12.2024. 9:23:42;;0,099475;;4.12.2024. 9:23:40;;34,571865;;4.12.2024. 9:24:48;;64,761909;;4.12.2024. 9:24:48;;3,927364;;4.12.2024. 9:23:54;;0,038005;;4.12.2024. 9:23:54;;34,471859;;
4.12.2024. 9:41:36;;2;;4.12.2024. 9:39:44;;3;;4.12.2024. 9:25:12;;66,978928;;4.12.2024. 9:24:52;;4,145956;;4.12.2024. 9:25:02;;0,094788;;4.12.2024. 9:26:14;;34,685333;;4.12.2024. 9:25:08;;63,870815;;4.12.2024. 9:25:14;;3,876647;;4.12.2024. 9:25:04;;0,03856;;4.12.2024. 9:26:14;;34,54018;;
4.12.2024. 9:42:02;;2;;4.12.2024. 9:41:36;;3;;4.12.2024. 9:26:24;;68,254967;;4.12.2024. 9:25:20;;4,084835;;4.12.2024. 9:25:48;;0,222949;;4.12.2024. 9:26:40;;34,876217;;4.12.2024. 9:26:12;;65,077911;;4.12.2024. 9:26:00;;3,947187;;4.12.2024. 9:25:48;;0,153471;;4.12.2024. 9:26:40;;34,776058;;
4.12.2024. 9:43:28;;3;;4.12.2024. 9:43:28;;3;;4.12.2024. 9:26:42;;67,074249;;4.12.2024. 9:27:24;;4,082534;;4.12.2024. 9:27:20;;0,136496;;4.12.2024. 9:26:46;;34,876217;;4.12.2024. 9:28:04;;62,205311;;4.12.2024. 9:28:04;;3,783822;;4.12.2024. 9:28:04;;0,05603;;4.12.2024. 9:26:46;;34,776058;;
4.12.2024. 9:45:20;;3;;4.12.2024. 9:45:20;;3;;4.12.2024. 9:27:58;;71,403831;;4.12.2024. 9:27:54;;4,362374;;4.12.2024. 9:28:32;;0,214108;;4.12.2024. 9:28:06;;34,583714;;4.12.2024. 9:28:20;;66,466583;;4.12.2024. 9:28:32;;4,018876;;4.12.2024. 9:28:16;;0,158381;;4.12.2024. 9:28:10;;34,486168;;
4.12.2024. 9:47:12;;3;;4.12.2024. 9:47:12;;3;;4.12.2024. 9:28:42;;72,750877;;4.12.2024. 9:28:42;;4,397198;;4.12.2024. 9:28:42;;0,264277;;4.12.2024. 9:29:30;;34,762695;;4.12.2024. 9:28:42;;64,105156;;4.12.2024. 9:29:00;;4,057292;;4.12.2024. 9:28:42;;0,177987;;4.12.2024. 9:28:46;;34,364769;;
