SINJ 110 TP1 STRUJA ;;;;SINJ 110 TP2 STRUJA ;;;;SINJ 110/35 TR1 POLOŽAJ REG SKLOPKE ;;;;SINJ 110/35 TR2 POLOŽAJ REG SKLOPKE ;;;;SINJ 35 MP1 NAPON ;;;;SINJ 35 MP2 NAPON ;;;;SINJ 35 TP1 7SJ STRUJA ;;;;SINJ 35 TP1 7SJ RADNA SNAGA ;;;;SINJ 35 TP1 7SJ JALOVA SNAGA ;;;;SINJ 35 TP1 NAPON ;;;;SINJ 35 TP2 7SJ STRUJA ;;;;SINJ 35 TP2 7SJ RADNA SNAGA ;;;;SINJ 35 TP2 7SJ JALOVA SNAGA ;;;;SINJ 35 TP2 NAPON ;;;;
4.12.2024. 9:22:14;;49,977127;;4.12.2024. 9:21:48;;73,100868;;4.12.2024. 9:36:00;;3;;4.12.2024. 9:36:00;;3;;4.12.2024. 9:22:14;;35,16399;;4.12.2024. 9:22:14;;35,182434;;4.12.2024. 9:22:40;;165,595856;;4.12.2024. 9:22:40;;-10,098031;;4.12.2024. 9:22:24;;-0,637712;;4.12.2024. 9:22:14;;35,076393;;4.12.2024. 9:22:40;;234,221146;;4.12.2024. 9:22:28;;-14,366587;;4.12.2024. 9:22:40;;-0,713881;;4.12.2024. 9:22:16;;34,983227;;
4.12.2024. 9:24:14;;49,977127;;4.12.2024. 9:24:10;;72,354942;;4.12.2024. 9:38:40;;3;;4.12.2024. 9:38:40;;3;;4.12.2024. 9:22:54;;35,124283;;4.12.2024. 9:22:44;;35,040115;;4.12.2024. 9:23:28;;167,087708;;4.12.2024. 9:22:48;;-10,098031;;4.12.2024. 9:22:58;;-0,70999;;4.12.2024. 9:22:52;;34,983227;;4.12.2024. 9:24:08;;237,204865;;4.12.2024. 9:23:52;;-14,493351;;4.12.2024. 9:23:00;;-0,713881;;4.12.2024. 9:22:54;;34,936646;;
4.12.2024. 9:25:20;;49,231194;;4.12.2024. 9:25:20;;71,609009;;4.12.2024. 9:41:20;;3;;4.12.2024. 9:41:20;;3;;4.12.2024. 9:24:24;;34,70219;;4.12.2024. 9:23:54;;34,611061;;4.12.2024. 9:25:20;;162,612152;;4.12.2024. 9:25:20;;-9,930124;;4.12.2024. 9:24:40;;-0,575164;;4.12.2024. 9:24:00;;34,563988;;4.12.2024. 9:25:20;;232,729294;;4.12.2024. 9:25:20;;-14,262061;;4.12.2024. 9:24:28;;-0,63104;;4.12.2024. 9:23:58;;34,517406;;
4.12.2024. 9:26:34;;50,723053;;4.12.2024. 9:26:34;;70,863083;;4.12.2024. 9:42:30;;5;;4.12.2024. 9:41:54;;1;;4.12.2024. 9:26:16;;34,724941;;4.12.2024. 9:26:54;;34,955547;;4.12.2024. 9:25:52;;162,612152;;4.12.2024. 9:25:52;;-9,825044;;4.12.2024. 9:27:32;;-0,714993;;4.12.2024. 9:26:46;;34,936646;;4.12.2024. 9:26:56;;234,221146;;4.12.2024. 9:25:40;;-14,262061;;4.12.2024. 9:26:22;;-0,760584;;4.12.2024. 9:27:40;;34,796902;;
4.12.2024. 9:27:52;;49,231194;;4.12.2024. 9:28:00;;71,609009;;4.12.2024. 9:42:32;;1;;4.12.2024. 9:44:00;;4;;4.12.2024. 9:27:36;;34,985039;;4.12.2024. 9:27:54;;34,694836;;4.12.2024. 9:27:52;;170,071411;;4.12.2024. 9:28:00;;-10,082186;;4.12.2024. 9:28:00;;-0,587951;;4.12.2024. 9:28:00;;34,703735;;4.12.2024. 9:28:00;;231,237442;;4.12.2024. 9:26:38;;-14,149754;;4.12.2024. 9:28:00;;-0,662175;;4.12.2024. 9:28:00;;34,657154;;
4.12.2024. 9:30:26;;49,977127;;4.12.2024. 9:30:30;;71,609009;;4.12.2024. 9:46:40;;4;;4.12.2024. 9:46:40;;4;;4.12.2024. 9:29:26;;34,952076;;4.12.2024. 9:29:24;;34,892174;;4.12.2024. 9:29:48;;167,087708;;4.12.2024. 9:28:02;;-10,082186;;4.12.2024. 9:28:54;;-0,587951;;4.12.2024. 9:28:34;;34,796902;;4.12.2024. 9:28:18;;231,237442;;4.12.2024. 9:29:10;;-14,118618;;4.12.2024. 9:28:38;;-0,662175;;4.12.2024. 9:28:50;;34,517406;;
4.12.2024. 9:30:40;;49,231194;;4.12.2024. 9:30:40;;70,863083;;4.12.2024. 9:48:18;;4;;4.12.2024. 9:47:58;;4;;4.12.2024. 9:29:56;;34,546173;;4.12.2024. 9:29:54;;34,531792;;4.12.2024. 9:30:30;;164,104004;;4.12.2024. 9:30:40;;-9,956811;;4.12.2024. 9:29:58;;-0,858993;;4.12.2024. 9:30:40;;34,610569;;4.12.2024. 9:30:18;;234,221146;;4.12.2024. 9:30:18;;-14,268178;;4.12.2024. 9:29:08;;-0,736677;;4.12.2024. 9:30:16;;34,750317;;
4.12.2024. 9:31:08;;49,231194;;4.12.2024. 9:32:24;;69,371231;;4.12.2024. 9:48:20;;1;;4.12.2024. 9:48:00;;1;;4.12.2024. 9:31:56;;34,801327;;4.12.2024. 9:30:54;;34,722027;;4.12.2024. 9:32:50;;162,612152;;4.12.2024. 9:31:06;;-9,848395;;4.12.2024. 9:31:56;;-0,781433;;4.12.2024. 9:30:44;;34,610569;;4.12.2024. 9:32:28;;231,237442;;4.12.2024. 9:32:32;;-14,064688;;4.12.2024. 9:31:48;;-0,756692;;4.12.2024. 9:30:42;;34,610569;;
4.12.2024. 9:32:10;;51,468979;;4.12.2024. 9:33:20;;70,863083;;4.12.2024. 9:51:16;;3;;4.12.2024. 9:51:26;;1;;4.12.2024. 9:32:26;;35,04874;;4.12.2024. 9:32:24;;35,041271;;4.12.2024. 9:33:20;;168,579559;;4.12.2024. 9:32:16;;-10,234803;;4.12.2024. 9:33:02;;-0,564878;;4.12.2024. 9:32:36;;34,936646;;4.12.2024. 9:33:20;;232,729294;;4.12.2024. 9:33:20;;-14,216472;;4.12.2024. 9:33:20;;-0,648276;;4.12.2024. 9:32:28;;34,890064;;
4.12.2024. 9:33:32;;50,723053;;4.12.2024. 9:34:02;;70,863083;;4.12.2024. 9:52:00;;4;;4.12.2024. 9:52:00;;4;;4.12.2024. 9:33:26;;35,013039;;4.12.2024. 9:34:54;;34,559391;;4.12.2024. 9:34:50;;161,120285;;4.12.2024. 9:33:22;;-10,217289;;4.12.2024. 9:33:28;;-0,717217;;4.12.2024. 9:33:40;;34,890064;;4.12.2024. 9:33:30;;232,729294;;4.12.2024. 9:33:48;;-14,216472;;4.12.2024. 9:35:12;;-0,619364;;4.12.2024. 9:33:38;;34,843479;;
