METERIZ 110 HE ZAK/2 STRUJA ;;;;METERIZ 110 HE ZAK/2 RADNA SNAGA ;;;;METERIZ 110 HE ZAK/2 JALOVA SNAGA ;;;;METERIZ 110 HE ZAK/2 NAPON ;;;;HE ZAK 110 METERIZ/2 STRUJA ;;;;HE ZAK 110 METERIZ/2 RADNA SNAGA ;;;;HE ZAK 110 METERIZ/2 JALOVA SNAGA ;;;;HE ZAK 110 METERIZ/2 NAPON ;;;;
4.12.2024. 9:27:52;;0;;4.12.2024. 9:27:52;;-0,023957;;4.12.2024. 9:27:52;;0,758587;;4.12.2024. 9:20:26;;118,385475;;4.12.2024. 9:27:52;;0;;4.12.2024. 9:27:52;;-0,004096;;4.12.2024. 9:27:52;;-0,00218;;4.12.2024. 9:20:38;;118,465569;;
4.12.2024. 9:29:24;;0;;4.12.2024. 9:29:24;;-0,023957;;4.12.2024. 9:29:24;;0,758587;;4.12.2024. 9:20:46;;118,338089;;4.12.2024. 9:29:24;;0;;4.12.2024. 9:29:24;;-0,004096;;4.12.2024. 9:29:24;;-0,00218;;4.12.2024. 9:20:46;;118,299011;;
4.12.2024. 9:30:56;;0;;4.12.2024. 9:30:56;;-0,023957;;4.12.2024. 9:30:56;;0,758587;;4.12.2024. 9:23:06;;118,374924;;4.12.2024. 9:30:56;;0;;4.12.2024. 9:30:56;;-0,004096;;4.12.2024. 9:30:56;;-0,00218;;4.12.2024. 9:21:58;;118,465126;;
4.12.2024. 9:32:28;;0;;4.12.2024. 9:32:28;;-0,023957;;4.12.2024. 9:32:28;;0,758587;;4.12.2024. 9:23:16;;118,399597;;4.12.2024. 9:32:28;;0;;4.12.2024. 9:32:28;;-0,004096;;4.12.2024. 9:32:28;;-0,00218;;4.12.2024. 9:23:10;;118,49189;;
4.12.2024. 9:34:00;;0;;4.12.2024. 9:34:00;;-0,023957;;4.12.2024. 9:34:00;;0,758587;;4.12.2024. 9:24:32;;118,376282;;4.12.2024. 9:34:00;;0;;4.12.2024. 9:34:00;;-0,004096;;4.12.2024. 9:34:00;;-0,00218;;4.12.2024. 9:23:54;;118,467346;;
4.12.2024. 9:35:32;;0;;4.12.2024. 9:35:32;;-0,023957;;4.12.2024. 9:35:32;;0,758587;;4.12.2024. 9:24:48;;118,415924;;4.12.2024. 9:35:32;;0;;4.12.2024. 9:35:32;;-0,004096;;4.12.2024. 9:35:32;;-0,00218;;4.12.2024. 9:24:48;;118,515541;;
4.12.2024. 9:37:04;;0;;4.12.2024. 9:37:04;;-0,023957;;4.12.2024. 9:37:04;;0,758587;;4.12.2024. 9:25:20;;118,415924;;4.12.2024. 9:37:04;;0;;4.12.2024. 9:37:04;;-0,004096;;4.12.2024. 9:37:04;;-0,00218;;4.12.2024. 9:25:40;;118,515541;;
4.12.2024. 9:38:36;;0;;4.12.2024. 9:38:36;;-0,023957;;4.12.2024. 9:38:36;;0,758587;;4.12.2024. 9:26:20;;118,375633;;4.12.2024. 9:38:36;;0;;4.12.2024. 9:38:36;;-0,004096;;4.12.2024. 9:38:36;;-0,00218;;4.12.2024. 9:26:02;;118,447464;;
4.12.2024. 9:40:08;;0;;4.12.2024. 9:40:08;;-0,023957;;4.12.2024. 9:40:08;;0,758587;;4.12.2024. 9:26:24;;118,375633;;4.12.2024. 9:40:08;;0;;4.12.2024. 9:40:08;;-0,004096;;4.12.2024. 9:40:08;;-0,00218;;4.12.2024. 9:26:52;;118,500748;;
4.12.2024. 9:41:40;;0;;4.12.2024. 9:41:40;;-0,023957;;4.12.2024. 9:41:40;;0,758587;;4.12.2024. 9:27:52;;118,466988;;4.12.2024. 9:41:40;;0;;4.12.2024. 9:41:40;;-0,004096;;4.12.2024. 9:41:40;;-0,00218;;4.12.2024. 9:27:52;;118,601395;;
4.12.2024. 9:43:12;;0;;4.12.2024. 9:43:12;;-0,023957;;4.12.2024. 9:43:12;;0,758587;;4.12.2024. 9:28:20;;118,466988;;4.12.2024. 9:43:12;;0;;4.12.2024. 9:43:12;;-0,004096;;4.12.2024. 9:43:12;;-0,00218;;4.12.2024. 9:28:00;;118,601395;;
4.12.2024. 9:44:44;;0;;4.12.2024. 9:44:44;;-0,023957;;4.12.2024. 9:44:44;;0,758587;;4.12.2024. 9:29:24;;118,507767;;4.12.2024. 9:44:44;;0;;4.12.2024. 9:44:44;;-0,004096;;4.12.2024. 9:44:44;;-0,00218;;4.12.2024. 9:29:24;;118,668823;;
